_id,Scale ID,Element ID,O*NET-SOC Code
o_jobSkills/b42399b8-9e8c-409b-8b19-61c55306d219,,2.B.3.a,11-3011.00
o_jobSkills/5de058ff-361f-495e-95f4-94dcca1f069b,,2.B.3.b,11-3011.00
o_jobSkills/2ed8cf5f-dfa0-4f6e-871c-723c7d5ae7b8,,2.B.3.c,11-3011.00
o_jobSkills/332f481e-1704-4393-aa11-7b8114d40ffa,,2.B.3.d,11-3011.00
o_jobSkills/075a47a5-d44e-46eb-888a-5d3a925cfebd,,2.B.3.e,11-3011.00
o_jobSkills/f8bc7feb-db0b-4ed4-b5ab-bc085f85ab8e,,2.B.3.g,11-3011.00
o_jobSkills/0bd210ec-3487-421b-9bff-f5ae1267a350,,2.B.3.h,11-3011.00
o_jobSkills/4490d59d-27bf-4966-9e8d-4345ea78236c,,2.B.3.j,11-3011.00
o_jobSkills/56a6083a-eca5-4b25-bae2-f57a485bf162,,2.B.3.k,11-3011.00
o_jobSkills/b3f9e4a9-73e4-4228-934d-8b3427eb0080,,2.B.3.l,11-3011.00
